,movie_id,movie_title,mpaa_rating,runtime,genre,star_rating,gross_revenue,budget
58,tt7549996,Judy,PG-13,118 min,"Biography, Drama, Romance",6.9,38981322,0
59,tt8972256,Greed,R,104 min,"Comedy, Drama",5.9,0,0
60,tt5974030,The Jesus Rolls,R,85 min,"Comedy, Crime, Drama",4.3,0,0
61,tt1025100,Gemini Man,PG-13,117 min,"Action, Drama, Sci-Fi",5.7,173469516,138000000
62,tt6445414,The Coldest Game,TV-MA,102 min,Thriller,6.3,0,0
63,tt6857112,Us,R,116 min,"Horror, Mystery, Thriller",6.9,255105930,20000000
64,tt1375666,Inception,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,825532764,160000000
65,tt0816692,Interstellar,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,675120017,165000000
66,tt5726616,Call Me by Your Name,R,132 min,"Drama, Romance",7.9,41063475,4000000
67,tt4916630,Just Mercy,PG-13,137 min,Drama,7.5,10435988,0
68,tt6966692,Green Book,PG-13,130 min,"Biography, Comedy, Drama",8.2,319700000,23000000
69,tt0993846,The Wolf of Wall Street,R,180 min,"Biography, Crime, Drama",8.2,392000694,100000000
70,tt6146586,John Wick: Chapter 3 - Parabellum,R,131 min,"Action, Crime, Thriller",7.5,326699296,55000000
71,tt5697572,Cats,PG,110 min,"Comedy, Drama, Family",2.8,71954915,95000000
72,tt1615160,The Foreigner,R,113 min,"Action, Thriller",7.0,145374099,35000000
73,tt7798634,Ready or Not,R,95 min,"Comedy, Horror, Mystery",6.8,57384179,6000000
74,tt1489887,Booksmart,R,102 min,Comedy,7.2,24849029,6000000
75,tt0974015,Justice League,PG-13,120 min,"Action, Adventure, Fantasy",6.4,657924295,300000000
76,tt6320628,Spider-Man: Far from Home,PG-13,129 min,"Action, Adventure, Sci-Fi",7.5,1131450163,160000000
77,tt3846674,To All the Boys I've Loved Before,TV-14,99 min,"Drama, Romance",7.2,0,0
78,tt3741700,Godzilla: King of the Monsters,PG-13,132 min,"Action, Adventure, Fantasy",6.1,385900138,170000000
79,tt3513548,Richard Jewell,R,131 min,"Biography, Crime, Drama",7.5,33904605,45000000
80,tt5013056,Dunkirk,PG-13,106 min,"Action, Drama, History",7.9,525573161,100000000
81,tt0385887,Motherless Brooklyn,R,144 min,"Crime, Drama, Mystery",6.8,18377736,26000000
82,tt4846232,Good Time,R,101 min,"Crime, Drama, Thriller",7.3,2026499,0
83,tt11107074,My Hero Academia: Heroes Rising,PG-13,104 min,"Animation, Action, Adventure",8.1,0,0
84,tt2267998,Gone Girl,R,149 min,"Drama, Mystery, Thriller",8.1,369330363,61000000
85,tt8504014,Good Newwz,Not Rated,134 min,"Comedy, Drama",7.3,0,0
86,tt7784604,Hereditary,R,127 min,"Drama, Horror, Mystery",7.3,79336821,10000000
87,tt7456310,Anna,R,119 min,"Action, Thriller",6.6,30041730,34000000
88,tt3470600,Sing,PG,108 min,"Animation, Comedy, Family",7.1,634151679,75000000
89,tt2404435,The Magnificent Seven,PG-13,132 min,"Action, Adventure, Western",6.9,162360636,90000000
90,tt3967856,Okja,TV-MA,120 min,"Action, Adventure, Drama",7.3,0,50000000
91,tt6806448,Fast & Furious Presents: Hobbs & Shaw,PG-13,137 min,"Action, Adventure",6.5,760098996,200000000
92,tt7984766,The King,R,140 min,"Biography, Drama, History",7.3,0,0
93,tt4648786,Harriet,PG-13,125 min,"Action, Biography, Drama",6.3,0,0
94,tt3882082,The Boy,PG-13,97 min,"Horror, Mystery, Thriller",6.0,64188367,10000000
95,tt2283336,Men in Black: International,PG-13,114 min,"Action, Adventure, Comedy",5.6,252608480,110000000
96,tt8404614,The Two Popes,PG-13,125 min,"Comedy, Drama",7.6,232638,0
97,tt0448115,Shazam!,PG-13,132 min,"Action, Adventure, Comedy",7.1,363533271,80000000
98,tt8359816,Sorry We Missed You,NaN,101 min,Drama,7.7,0,0
99,tt1677720,Ready Player One,PG-13,140 min,"Action, Adventure, Sci-Fi",7.5,582890172,175000000
100,tt1477834,Aquaman,PG-13,143 min,"Action, Adventure, Fantasy",7.0,1143689193,160000000
101,tt4364194,The Peanut Butter Falcon,PG-13,97 min,"Adventure, Comedy, Drama",7.7,0,0
102,tt5052448,Get Out,R,104 min,"Horror, Mystery, Thriller",7.7,255407969,4500000
103,tt4925292,Lady Bird,R,94 min,"Comedy, Drama",7.4,76858273,10000000
104,tt8350360,Annabelle Comes Home,R,106 min,"Horror, Mystery, Thriller",5.9,10834459,0
105,tt2015381,Guardians of the Galaxy,PG-13,121 min,"Action, Adventure, Comedy",8.0,772776600,170000000
106,tt1727824,Bohemian Rhapsody,PG-13,134 min,"Biography, Drama, Music",8.0,894027543,52000000
107,tt4912910,Mission: Impossible - Fallout,PG-13,147 min,"Action, Adventure, Thriller",7.8,791017452,178000000
108,tt3774694,Love,Not Rated,135 min,"Drama, Romance",6.1,249083,3000000
109,tt6095472,The Angry Birds Movie 2,PG,97 min,"Animation, Adventure, Comedy",6.4,131359052,65000000
110,tt7752126,Brightburn,R,90 min,"Drama, Horror, Mystery",6.1,32139941,7000000
111,tt3501632,Thor: Ragnarok,PG-13,130 min,"Action, Adventure, Comedy",7.9,853977126,180000000
112,tt4154756,Avengers: Infinity War,PG-13,149 min,"Action, Adventure, Sci-Fi",8.5,2046239637,300000000
113,tt2379713,Spectre,PG-13,148 min,"Action, Adventure, Thriller",6.8,880674609,245000000
114,tt7958736,Ma,R,99 min,"Horror, Mystery, Thriller",5.6,51749995,5000000
115,tt1259521,The Cabin in the Woods,R,95 min,Horror,7.0,70742948,30000000
116,tt6499752,Upgrade,R,100 min,"Action, Horror, Sci-Fi",7.5,11871365,5000000
117,tt3748528,Rogue One: A Star Wars Story,PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,1056057273,200000000
118,tt1345836,The Dark Knight Rises,PG-13,164 min,"Action, Adventure",8.4,1081041287,250000000
119,tt4633694,Spider-Man: Into the Spider-Verse,PG,117 min,"Animation, Action, Adventure",8.4,375450417,90000000
120,tt1825683,Black Panther,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,1346739107,200000000
121,tt3890160,Baby Driver,R,113 min,"Action, Crime, Drama",7.6,226945087,34000000
122,tt4263482,The VVitch: A New-England Folktale,R,92 min,"Drama, Horror, Mystery",6.9,40423945,3500000
123,tt2294629,Frozen,PG,102 min,"Animation, Adventure, Comedy",7.5,1274219009,150000000
124,tt3532216,American Made,R,115 min,"Action, Biography, Comedy",7.1,133511855,50000000
125,tt8079248,Yesterday,PG-13,116 min,"Comedy, Fantasy, Music",6.9,88092097,26000000
126,tt0451279,Wonder Woman,PG-13,141 min,"Action, Adventure, Fantasy",7.4,821847012,149000000
127,tt6521876,Jay and Silent Bob Reboot,R,105 min,Comedy,5.8,1011305,0
128,tt7948854,The Nothing,NaN,79 min,"Horror, Thriller",3.1,0,0
129,tt4844140,True History of the Kelly Gang,R,124 min,"Biography, Crime, Drama",6.1,0,0
130,tt1650062,Super 8,PG-13,112 min,"Action, Mystery, Sci-Fi",7.0,260095987,50000000
131,tt2119532,Hacksaw Ridge,R,139 min,"Biography, Drama, History",8.1,175302354,40000000
132,tt4913966,The Curse of La Llorona,R,93 min,"Horror, Mystery, Thriller",5.3,122033739,9000000
133,tt1961175,American Assassin,R,112 min,"Action, Thriller",6.2,66167951,33000000
134,tt1206885,Rambo: Last Blood,R,89 min,"Action, Adventure, Thriller",6.2,91490353,50000000
135,tt5700672,Train to Busan,Not Rated,118 min,"Action, Horror, Thriller",7.5,87547518,8820000
136,tt1392214,Prisoners,R,153 min,"Crime, Drama, Mystery",8.1,122126687,46000000
137,tt1485796,The Greatest Showman,PG,105 min,"Biography, Drama, Musical",7.6,432844677,84000000
138,tt1392190,Mad Max: Fury Road,R,120 min,"Action, Adventure, Sci-Fi",8.1,378858340,150000000
139,tt1780967,Seberg,R,102 min,"Biography, Drama, Thriller",5.1,0,8000000
140,tt1798709,Her,R,126 min,"Drama, Romance, Sci-Fi",8.0,47351251,23000000
141,tt5083738,The Favourite,R,119 min,"Biography, Comedy, Drama",7.6,82124805,15000000
142,tt4881806,Jurassic World: Fallen Kingdom,PG-13,128 min,"Action, Adventure, Sci-Fi",6.2,1303459585,170000000
143,tt4154664,Captain Marvel,PG-13,123 min,"Action, Adventure, Sci-Fi",6.9,1128274794,152000000
144,tt1972591,King Arthur: Legend of the Sword,PG-13,126 min,"Action, Adventure, Drama",6.7,146175066,175000000
145,tt9243946,El Camino: A Breaking Bad Movie,TV-MA,122 min,"Action, Crime, Drama",7.4,0,6000000
146,tt1853728,Django Unchained,R,165 min,"Drama, Western",8.4,425368238,100000000
147,tt0446029,Scott Pilgrim vs. the World,PG-13,112 min,"Action, Comedy, Fantasy",7.5,47664559,60000000
148,tt1074638,Skyfall,PG-13,143 min,"Action, Adventure, Thriller",7.7,1108561013,200000000
149,tt5116302,Togo,PG,113 min,"Adventure, Biography, Drama",8.1,0,0
150,tt2975590,Batman v Superman: Dawn of Justice,PG-13,151 min,"Action, Adventure, Sci-Fi",6.5,873260194,250000000
151,tt2322441,Fifty Shades of Grey,R,125 min,"Drama, Romance, Thriller",4.1,571006128,40000000
152,tt1469304,Baywatch,R,116 min,"Action, Comedy, Crime",5.5,177856751,69000000
153,tt5463162,Deadpool 2,R,119 min,"Action, Adventure, Comedy",7.7,741547413,110000000
154,tt5164214,Ocean's 8,PG-13,110 min,"Action, Comedy, Crime",6.2,297718711,70000000
155,tt1386588,The Other Guys,PG-13,107 min,"Action, Comedy, Crime",6.6,170432927,100000000
156,tt6259380,Code 8,NaN,98 min,"Action, Crime, Drama",6.1,0,0
157,tt7921248,The Whistlers,NaN,97 min,"Comedy, Crime",6.6,0,0
158,tt1833116,The Informer,R,113 min,"Crime, Drama, Thriller",6.5,0,0
159,tt6189022,Angel Has Fallen,R,121 min,"Action, Thriller",6.4,133365452,40000000
160,tt1663202,The Revenant,R,156 min,"Action, Adventure, Biography",8.0,532950503,135000000
161,tt2278388,The Grand Budapest Hotel,R,99 min,"Adventure, Comedy, Crime",8.1,174600318,30000000
162,tt6398184,Downton Abbey,PG,122 min,"Drama, Romance",7.4,157829576,20000000
163,tt2274648,Hellboy,R,120 min,"Action, Adventure, Fantasy",5.2,44664690,50000000
164,tt5027774,"Three Billboards Outside Ebbing, Missouri",R,115 min,"Comedy, Crime, Drama",8.2,158526998,15000000
165,tt8637428,The Farewell,PG,100 min,"Comedy, Drama",7.7,22110994,0
166,tt3460252,The Hateful Eight,R,168 min,"Crime, Drama, Mystery",7.8,155760117,44000000
167,tt8652728,Waves,R,135 min,"Drama, Romance, Sport",7.7,1740683,0
168,tt1431045,Deadpool,R,108 min,"Action, Adventure, Comedy",8.0,783100000,58000000
169,tt2139881,Long Shot,R,125 min,"Comedy, Romance",6.9,53847136,40000000
170,tt1130884,Shutter Island,R,138 min,"Mystery, Thriller",8.1,294804195,80000000
171,tt1596363,The Big Short,R,130 min,"Biography, Comedy, Drama",7.8,133346506,28000000
172,tt2713180,Fury,R,134 min,"Action, Drama, War",7.6,211817906,68000000
173,tt5884052,Pokémon Detective Pikachu,PG,104 min,"Action, Adventure, Comedy",6.6,431605346,150000000
174,tt7288408,Radioflash,Unrated,103 min,"Drama, Thriller",5.6,0,0
175,tt1343092,The Great Gatsby,PG-13,143 min,"Drama, Romance",7.2,351040419,105000000
176,tt3416742,What We Do in the Shadows,R,86 min,"Comedy, Horror",7.7,6263224,1600000
177,tt5563334,The Good Liar,R,109 min,"Crime, Drama, Mystery",6.5,33256058,10000000
178,tt4016934,The Handmaiden,Not Rated,145 min,"Drama, Romance, Thriller",8.1,37767206,8575000
179,tt1620981,The Addams Family,PG,86 min,"Animation, Comedy, Family",5.8,200185807,40000000
180,tt5580390,The Shape of Water,R,123 min,"Adventure, Drama, Fantasy",7.3,194989655,19500000
181,tt2076298,Ip Man 4: The Finale,Unrated,107 min,"Action, Biography, Drama",7.3,0,52000000
182,tt7329656,47 Meters Down: Uncaged,PG-13,90 min,"Adventure, Drama, Horror",5.0,0,12000000
183,tt1392170,The Hunger Games,PG-13,142 min,"Action, Adventure, Sci-Fi",7.2,691210692,75000000
184,tt2582802,Whiplash,R,106 min,"Drama, Music",8.5,13092000,3300000
185,tt0903624,The Hobbit: An Unexpected Journey,PG-13,169 min,"Adventure, Family, Fantasy",7.8,1021103568,250000000
186,tt2398149,An Officer and a Spy,NaN,132 min,"Drama, History, Thriller",7.3,0,0
187,tt5827916,A Hidden Life,PG-13,174 min,"Biography, Drama, Romance",7.6,3033700,9000000
188,tt8816194,Come to Daddy,R,96 min,"Comedy, Thriller",6.1,57998,0
189,tt6565702,X-Men: Dark Phoenix,PG-13,113 min,"Action, Adventure, Sci-Fi",5.8,245000000,200000000
190,tt10039344,Countdown,PG-13,90 min,"Horror, Thriller",5.3,0,0
191,tt2911666,John Wick,R,101 min,"Action, Crime, Thriller",7.4,88761661,20000000
192,tt9134216,Playing with Fire,PG,96 min,"Comedy, Family",4.8,44400000,29900000
193,tt1201607,Harry Potter and the Deathly Hallows: Part 2,PG-13,130 min,"Adventure, Drama, Fantasy",8.1,1341511219,125000000
194,tt3569230,Legend,R,132 min,"Biography, Crime, Drama",6.9,42972994,25000000
195,tt8623904,Last Christmas,PG-13,103 min,"Comedy, Drama, Romance",6.5,121550750,30000000
196,tt2543164,Arrival,PG-13,116 min,"Drama, Mystery, Sci-Fi",7.9,203388186,47000000
197,tt7040874,A Simple Favor,R,117 min,"Comedy, Crime, Drama",6.8,53542417,20000000
198,tt3387520,Scary Stories to Tell in the Dark,PG-13,108 min,"Adventure, Horror, Mystery",6.2,95438172,25000000
199,tt1517451,A Star Is Born,R,136 min,"Drama, Music, Romance",7.7,433888866,36000000
200,tt3315342,Logan,R,137 min,"Action, Drama, Sci-Fi",8.1,619021436,97000000
201,tt4465572,American Woman,R,111 min,"Drama, Mystery",6.8,0,0
202,tt1270797,Venom,PG-13,112 min,"Action, Sci-Fi, Thriller",6.7,855013954,116000000
203,tt6911608,Mamma Mia! Here We Go Again,PG-13,114 min,"Comedy, Musical, Romance",6.7,12063493,75000000
204,tt2404233,Gods of Egypt,PG-13,127 min,"Action, Adventure, Fantasy",5.4,150680864,140000000
205,tt7139936,A Rainy Day in New York,PG-13,92 min,"Comedy, Romance",6.6,0,0
206,tt2527336,Star Wars: Episode VIII - The Last Jedi,PG-13,152 min,"Action, Adventure, Fantasy",7.0,1332459537,200000000
207,tt5932728,The Professor and the Madman,NaN,124 min,"Biography, Drama",7.3,0,25000000
208,tt2404465,Troop Zero,PG,94 min,"Comedy, Drama, Family",6.9,0,0
209,tt6823368,Glass,PG-13,129 min,"Drama, Sci-Fi, Thriller",6.7,246941965,20000000
210,tt4975722,Moonlight,R,111 min,Drama,7.4,65046687,4000000
211,tt3783958,La La Land,PG-13,128 min,"Comedy, Drama, Music",8.0,445435700,30000000
212,tt2704998,Game Night,R,100 min,"Action, Comedy, Crime",6.9,117501013,37000000
213,tt2310332,The Hobbit: The Battle of the Five Armies,PG-13,144 min,"Adventure, Fantasy",7.4,956019788,250000000
214,tt7343762,Good Boys,R,90 min,"Adventure, Comedy",6.7,72457330,20000000
215,tt0783640,The Last Full Measure,R,116 min,"Drama, War",6.5,0,0
216,tt3891834,After We Leave,NaN,82 min,"Drama, Sci-Fi",4.0,0,0
217,tt1024648,Argo,R,120 min,"Biography, Drama, Thriller",7.7,232324128,44500000
218,tt1843303,The VelociPastor,NaN,75 min,"Action, Adventure, Comedy",5.4,0,35000
219,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,PG-13,134 min,"Adventure, Family, Fantasy",6.6,653355901,200000000
220,tt3896198,Guardians of the Galaxy Vol. 2,PG-13,136 min,"Action, Adventure, Comedy",7.6,863756051,200000000
221,tt1291584,Warrior,PG-13,140 min,"Drama, Sport",8.2,23057115,25000000
222,tt0369610,Jurassic World,PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,1671713208,150000000
223,tt3799232,The Kissing Booth,TV-14,105 min,"Comedy, Romance",6.1,0,0
224,tt4463894,Shaft,R,111 min,"Action, Comedy, Crime",6.4,21360215,30000000
225,tt3605418,Knock Knock,R,99 min,"Drama, Thriller",4.9,6341684,2500000
226,tt2948356,Zootopia,PG,108 min,"Animation, Adventure, Comedy",8.0,1023784195,150000000
227,tt1454029,The Help,PG-13,146 min,Drama,8.1,124272124,25000000
228,tt8291806,Pain and Glory,R,113 min,Drama,7.6,28747837,10769016
229,tt1707386,Les Misérables,PG-13,158 min,"Drama, History, Musical",7.6,441809770,61000000
230,tt3659388,The Martian,PG-13,144 min,"Adventure, Drama, Sci-Fi",8.0,630161890,108000000
231,tt1298644,The Hustle,PG-13,93 min,"Comedy, Crime",5.4,32677774,0
232,tt3521164,Moana,PG,107 min,"Animation, Adventure, Comedy",7.6,695331111,150000000
233,tt2798920,Annihilation,R,115 min,"Adventure, Drama, Horror",6.9,43070915,40000000
234,tt6359956,A Bad Moms Christmas,R,104 min,Comedy,5.6,130560428,28000000
235,tt9894470,VFW,NaN,92 min,"Action, Horror",6.3,0,0
236,tt0458339,Captain America: The First Avenger,PG-13,124 min,"Action, Adventure, Sci-Fi",6.9,370569774,140000000
237,tt5478478,Hostiles,R,134 min,"Drama, Western",7.2,29819114,55000000
238,tt7557108,Saint Maud,R,84 min,"Drama, Horror, Mystery",6.9,0,0
239,tt5113040,The Secret Life of Pets 2,PG,86 min,"Animation, Adventure, Comedy",6.5,155152550,80000000
240,tt2024544,12 Years a Slave,R,134 min,"Biography, Drama, History",8.1,187000000,20000000
241,tt7461372,The Dawn,TV-14,90 min,"Horror, Thriller",5.6,0,0
242,tt7349662,BlacKkKlansman,R,135 min,"Biography, Crime, Drama",7.5,48686605,15000000
243,tt9000224,The Assistant,R,87 min,Drama,6.6,0,0
244,tt5719748,Cold Pursuit,R,119 min,"Action, Crime, Drama",6.2,59213931,60000000
245,tt5865326,The Laundromat,R,95 min,"Comedy, Crime, Drama",6.3,0,0
246,tt2873282,Red Sparrow,R,140 min,"Action, Drama, Thriller",6.6,147988192,69000000
247,tt2543472,Wonder,PG,113 min,"Drama, Family",8.0,0,20000000
248,tt6266538,Vice,R,132 min,"Biography, Comedy, Drama",7.2,66266401,60000000
249,tt3170832,Room,R,118 min,"Drama, Thriller",8.1,35401758,6000000
250,tt2771200,Beauty and the Beast,PG,129 min,"Family, Fantasy, Musical",7.1,1263521126,160000000
251,tt1293847,xXx: Return of Xander Cage,PG-13,107 min,"Action, Adventure, Thriller",5.2,346147658,85000000
252,tt0470752,Ex Machina,R,108 min,"Drama, Mystery, Sci-Fi",7.7,36869414,15000000
253,tt6998518,Mandy,Not Rated,121 min,"Action, Fantasy, Horror",6.6,1214525,6000000
254,tt3104988,Crazy Rich Asians,PG-13,120 min,"Comedy, Drama, Romance",6.9,237994561,30000000
255,tt8535968,System Crasher,NaN,118 min,Drama,8.0,0,0
256,tt2660888,Star Trek Beyond,PG-13,122 min,"Action, Adventure, Sci-Fi",7.1,343471816,185000000
257,tt6173484,"Standing Up, Falling Down",Not Rated,91 min,"Comedy, Drama",6.4,0,0
258,tt7401588,Instant Family,PG-13,118 min,"Comedy, Drama",7.3,14700000,48000000
259,tt0947798,Black Swan,R,108 min,"Drama, Thriller",8.0,327803731,13000000
260,tt4972582,Split,PG-13,117 min,"Horror, Thriller",7.3,278454358,9000000
261,tt8695030,The Dead Don't Die,R,104 min,"Comedy, Fantasy, Horror",5.5,12104595,0
262,tt1570728,"Crazy, Stupid, Love.",PG-13,118 min,"Comedy, Drama, Romance",7.4,142851197,50000000
263,tt0848228,The Avengers,PG-13,143 min,"Action, Adventure, Sci-Fi",8.0,1519557910,220000000
264,tt5109784,Mother!,R,121 min,"Drama, Horror, Mystery",6.6,44516999,30000000
265,tt2395427,Avengers: Age of Ultron,PG-13,141 min,"Action, Adventure, Sci-Fi",7.3,1405403694,280000000
266,tt2481498,"Extremely Wicked, Shockingly Evil and Vile",R,110 min,"Biography, Crime, Drama",6.6,0,0
267,tt2802144,Kingsman: The Secret Service,R,129 min,"Action, Adventure, Comedy",7.7,414351546,81000000
268,tt8134742,3 from Hell,R,115 min,Horror,5.6,0,3000000
269,tt2250912,Spider-Man: Homecoming,PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,880166924,175000000
270,tt4687108,In the Tall Grass,TV-MA,101 min,"Drama, Horror, Mystery",5.4,0,0
271,tt6439020,The Personal History of David Copperfield,PG,119 min,"Comedy, Drama",6.6,0,15600000
272,tt7547410,Dora and the Lost City of Gold,PG,102 min,"Adventure, Family",6.0,116826172,49000000
273,tt3778644,Solo: A Star Wars Story,PG-13,135 min,"Action, Adventure, Sci-Fi",6.9,392952373,250000000
274,tt6472976,Five Feet Apart,PG-13,116 min,"Drama, Romance",7.2,0,5000000
275,tt1800241,American Hustle,R,138 min,"Crime, Drama",7.2,251171807,40000000
276,tt5439796,Logan Lucky,PG-13,118 min,"Comedy, Crime, Drama",7.0,48453605,29000000
277,tt1937390,Nymphomaniac: Vol. I,Not Rated,117 min,Drama,6.9,10285896,0
278,tt1478338,Bridesmaids,R,125 min,"Comedy, Romance",6.8,288383523,32500000
279,tt5580036,"I, Tonya",R,119 min,"Biography, Comedy, Drama",7.5,53939297,11000000
280,tt4857264,The Invisible Guest,NaN,106 min,"Crime, Mystery, Thriller",8.1,30000000,4000000
281,tt3864056,The Goldfinch,R,149 min,Drama,6.2,0,40000000
282,tt1560747,The Master,R,138 min,Drama,7.2,28258060,32000000
283,tt3397884,Sicario,R,121 min,"Action, Crime, Drama",7.6,84025816,30000000
284,tt2278871,Blue Is the Warmest Colour,NC-17,180 min,"Drama, Romance",7.7,10165694,4300000
285,tt1631867,Edge of Tomorrow,PG-13,113 min,"Action, Sci-Fi",7.9,370541256,178000000
286,tt3402236,Murder on the Orient Express,PG-13,114 min,"Crime, Drama, Mystery",6.5,351839303,55000000
287,tt2737304,Bird Box,R,124 min,"Drama, Horror, Sci-Fi",6.6,0,19800000
288,tt4139588,Polar,TV-MA,118 min,"Action, Crime, Drama",6.3,0,0
